Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,439.9069,NA,20.88800000000000,20.83350000000000,0.28360000000000,0.23340000000000,6.4880,419.3736,20.8169,20.5333,0.2836,0.0000,20.8324,0.1636,20.6688,-13.8055,419.3736,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,441.6767,NA,3.54150000000000,6.94120000000000,0.07960000000000,0.30870000000000,11.6594,438.2284,3.5279,3.4483,0.0796,3.5595,0.1975,0.1975,0.0000,224.5405,438.2284,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,446.8731,NA,6.96620000000000,6.94120000000000,0.21420000000000,0.21190000000000,6.4630,440.1905,6.8968,6.6826,0.2142,0.0000,6.9447,0.1863,6.7584,13.8757,440.1905,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,448.5433,NA,6.86660000000000,6.93640000000000,0.08550000000000,0.34420000000000,11.7292,441.7563,6.8725,6.7870,0.0855,6.9460,0.1852,0.1852,0.0000,-3.4085,441.7563,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,453.8118,NA,6.93870000000000,6.93640000000000,0.17960000000000,0.21300000000000,6.4607,447.0873,6.9041,6.7245,0.1796,0.0000,6.9398,0.2241,6.7157,-0.0396,447.0873,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,458.0311,NA,9.48780000000000,6.94380000000000,0.07920000000000,0.65800000000000,9.1852,448.6288,9.4815,9.4023,0.0792,0.3234,9.7369,0.2794,9.4575,-0.0713,448.6288,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,460.7611,NA,6.94930000000000,6.94380000000000,0.14420000000000,0.10500000000000,6.4552,453.9914,6.9139,6.7697,0.1442,0.0334,6.8413,0.1857,6.6556,-0.0397,453.9914,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,462.3986,NA,4.36750000000000,6.94400000000000,0.05810000000000,0.46870000000000,11.7617,458.1103,4.3464,4.2883,0.0581,4.5561,0.2009,0.2009,0.0000,2.5375,458.1103,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,467.6973,NA,6.93620000000000,6.94400000000000,0.12830000000000,0.09900000000000,6.4630,460.9053,6.9203,6.7920,0.1283,0.0000,6.9302,0.1598,6.7704,-0.0301,460.9053,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,468.8012,NA,6.40260000000000,6.94300000000000,0.05600000000000,0.30650000000000,12.3021,462.4567,6.4005,6.3445,0.0560,6.4675,0.1835,0.1835,0.0000,-2.5966,462.4567,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,475.2662,NA,6.46500000000000,NA,0.05330000000000,0.31980000000000,NA,468.8572,6.4623,6.4090,0.0533,6.5390,0.1898,0.1898,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,481.9502,NA,6.68400000000000,NA,0.04570000000000,0.22180000000000,NA,475.3195,6.6764,6.6307,0.0457,6.6953,0.1572,0.1082,0.0490,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,489.3186,NA,7.36840000000000,NA,0.06120000000000,0.27360000000000,NA,481.9959,7.3839,7.3227,0.0612,7.4145,0.1818,0.1232,0.0586,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,474.6514,NA,6.95410000000000,6.94300000000000,0.13680000000000,0.12150000000000,6.4519,467.8256,6.9626,6.8258,0.1368,0.0000,6.9766,0.1845,6.7921,-0.0227,467.8256,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,497.0044,NA,7.68580000000000,76.45260000000000,0.06250000000000,0.30390000000000,60.5515,489.3798,7.6871,7.6246,0.0625,7.7296,0.1989,0.1388,0.0601,-49.5295,489.3798,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,554.9372,NA,80.28580000000001,76.45260000000000,0.17370000000000,0.24410000000000,2.6187,474.7882,80.3227,80.1490,0.1737,0.0000,80.4084,0.1949,80.2135,-69.4900,474.7882,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,559.4396,NA,62.43520000000000,13.83130000000000,0.08760000000000,0.57420000000000,11.9476,497.0669,62.4603,62.3727,0.0876,62.4929,0.4540,0.2346,0.2194,-6.1442,497.0669,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,564.8760,NA,9.93880000000000,13.83130000000000,0.12540000000000,0.09330000000000,6.5112,555.1109,9.8905,9.7651,0.1254,0.0704,9.7880,0.1792,9.6088,66.4914,555.1109,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,566.6806,NA,7.24100000000000,6.94220000000000,0.06650000000000,0.31240000000000,11.6488,559.5272,7.2199,7.1534,0.0665,7.2802,0.1856,0.1856,0.0000,55.5181,559.5272,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,571.8117,NA,6.93570000000000,6.94220000000000,0.13350000000000,0.12260000000000,6.5177,565.0014,6.9438,6.8103,0.1335,0.0000,6.9650,0.1810,6.7840,2.9483,565.0014,NA,NA,NA
