Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,171.7076,NA,7.06370000000000,6.93220000000000,0.07940000000000,0.37160000000000,18.1499,164.7279,7.0591,6.9797,0.0794,7.1371,0.2142,0.2142,0.0000,0.7202,164.7279,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,176.6271,NA,6.97300000000000,6.93220000000000,0.79570000000000,0.75080000000000,13.2304,169.8352,7.5876,6.7919,0.7957,0.0031,7.5396,0.1982,7.3414,-0.0796,169.8352,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,178.3044,NA,6.59680000000000,6.95410000000000,0.07570000000000,0.39560000000000,18.5072,171.7870,6.5931,6.5174,0.0757,6.6955,0.2175,0.2175,0.0000,0.1050,171.7870,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,183.5452,NA,6.91810000000000,6.95410000000000,0.20810000000000,0.18340000000000,13.2664,177.4228,6.3305,6.1224,0.2081,0.0000,6.3507,0.2003,6.1504,0.6335,177.4228,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,185.8086,NA,7.50420000000000,6.94940000000000,0.07640000000000,0.28340000000000,17.9524,178.3801,7.5049,7.4285,0.0764,7.4949,0.2170,0.2170,0.0000,-0.3563,178.3801,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,190.5197,NA,6.97450000000000,6.94940000000000,0.22920000000000,0.17500000000000,13.2413,183.7533,6.9956,6.7664,0.2292,0.0000,6.9661,0.1981,6.7680,-0.6189,183.7533,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,192.7657,NA,6.95710000000000,6.93700000000000,0.08660000000000,0.39970000000000,17.9323,185.8850,6.9673,6.8807,0.0866,7.0617,0.2187,0.2187,0.0000,0.5679,185.8850,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,197.3220,NA,6.80230000000000,6.93700000000000,0.38770000000000,0.28600000000000,13.3760,190.7489,6.9608,6.5731,0.3877,0.0000,6.9133,0.1821,6.7312,0.0586,190.7489,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,199.3623,NA,6.59660000000000,6.94350000000000,0.07690000000000,0.40350000000000,18.2792,192.8523,6.5869,6.5100,0.0769,6.6974,0.2161,0.2161,0.0000,0.0238,192.8523,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,204.2676,NA,6.94560000000000,6.94350000000000,0.27990000000000,0.25240000000000,13.3739,197.7097,6.8378,6.5579,0.2799,0.0000,6.9120,0.2205,6.6915,0.0173,197.7097,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,206.0019,NA,6.63960000000000,6.94510000000000,0.07150000000000,0.40610000000000,18.5847,199.4392,6.6342,6.5627,0.0715,6.6948,0.2740,0.2513,0.0227,-0.3582,199.4392,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,211.1935,NA,6.92590000000000,6.94510000000000,0.28090000000000,0.24640000000000,13.3931,204.5475,6.9269,6.6460,0.2809,0.0000,6.9199,0.2001,6.7198,-0.1073,204.5475,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,213.1151,NA,7.11320000000000,6.94340000000000,0.07030000000000,0.36710000000000,18.4149,206.0734,7.1120,7.0417,0.0703,7.1933,0.2155,0.2155,0.0000,-0.3092,206.0734,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,218.1417,NA,6.94820000000000,6.94340000000000,0.15540000000000,0.14310000000000,13.3883,211.4744,6.8227,6.6673,0.1554,0.0000,6.8449,0.1896,6.6553,-0.0165,211.4744,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,219.7913,NA,6.67620000000000,6.99800000000000,0.07110000000000,0.35650000000000,18.7367,213.1854,6.6770,6.6059,0.0711,0.3381,6.6243,0.2470,6.3773,0.1140,213.1854,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,225.0961,NA,6.95440000000000,6.99800000000000,0.25050000000000,0.21610000000000,13.4319,218.2971,7.0495,6.7990,0.2505,0.0000,7.0274,0.1944,6.8330,-0.1753,218.2971,NA,NA,NA
